Name,Kingdom,Locations,Update Dates
Blackberry,plantae,"44.047662, -80.078296,44.046003, -80.075032,44.047662, -80.078296,43.815431, -80.012735,42.703739, -80.333697,43.886019, -81.493378,44.238339, -81.220558,44.921347, -78.070297,43.852578, -78.966636,46.581233, -82.708900,46.715619, -79.822564,45.924994, -80.555917,44.045525, -79.089439,43.410764, -79.760261","2022:06:05 14:45:09,2022:06:05 14:56:25,2022:06:05 16:05:23,2022:07:31 16:31:51,2022:08:14 18:11:40,2022:09:08 12:33:22,2023:03:11 16:40:21,2023:06:03 14:57:52,2023:06:10 18:20:31,2023:08:22 13:25:43,2023:08:24 15:58:53,2023:08:25 11:42:25,2024:02:03 15:01:00,2024:03:31 13:01:50"
Bladder Campion,plantae,"43.887842, -81.326361,43.691028, -81.586028,44.434547, -79.757575,44.675942, -81.256058,44.039202, -79.090102","2022:07:26 08:00:31,2022:08:27 14:22:07,2022:09:05 17:03:24,2022:09:17 14:35:06,2023:06:24 16:43:52"
Blisterwort,plantae,"44.499294, -76.544381,44.509242, -76.039764,43.857221, -79.203099,43.896873, -79.060524,43.992882, -79.197968,43.968710, -78.629398","2023:05:21 15:20:14,2023:05:22 12:05:08,2024:04:29 12:03:09,2024:05:01 13:50:34,2024:05:03 14:43:10,2024:05:07 11:26:20"
Bloodroot,plantae,"43.685513, -81.581715,44.035900, -78.919012,43.851344, -79.080436,43.812240, -79.154263,44.085308, -79.343826,43.933365, -78.986592,43.857453, -79.202076,44.084827, -79.358931,43.898045, -79.060791,44.002458, -78.776426,44.079910, -79.310669,43.971008, -78.615934,44.005268, -79.099007,44.077122, -78.498275,44.079189, -78.498078,44.085049, -79.454971,44.059841, -79.327698","2022:08:27 13:16:43,2023:04:24 14:56:37,2023:06:26 20:36:12,2024:04:07 13:33:04,2024:04:16 09:53:33,2024:04:28 18:15:33,2024:04:29 12:43:09,2024:04:30 10:17:10,2024:05:01 13:41:07,2024:05:04 03:11:53,2024:05:06 17:45:17,2024:05:07 12:09:39,2024:05:08 14:46:45,2024:05:11 16:07:51,2024:05:11 17:31:48,2024:05:14 12:43:49,2024:05:14 13:27:37"
Blue Holly,plantae,"43.682207, -81.577907",2022:08:28 19:32:49
Blue Wood Aster,plantae,"44.060104, -79.327568",2024:05:14 13:25:30
Blue bead-lily,plantae,"46.016844, -80.587417,46.586778, -82.706558,46.719231, -79.813461,46.719314, -79.813569","2023:08:21 15:52:59,2023:08:22 13:53:31,2023:08:24 16:37:44,2023:08:24 16:37:49"
Blue cohosh,plantae,"43.882022, -81.493911,44.036011, -78.919065,44.506917, -76.551583,43.871883, -79.130333,43.811890, -79.153757,43.812152, -79.153898,43.857221, -79.203099,44.084827, -79.358931,43.871832, -79.136245","2022:09:08 11:18:31,2023:04:24 14:59:50,2023:05:21 13:44:09,2023:07:01 20:13:55,2024:04:28 14:08:34,2024:04:28 14:30:15,2024:04:29 12:00:33,2024:04:30 10:19:00,2024:04:30 12:32:20"
Blue flag,plantae,"45.993737, -81.416896",2022:07:03 14:31:15
Blue marsh violet,plantae,"43.872028, -78.788872,43.800164, -79.108947,43.802011, -79.110632,43.799282, -79.109974,43.933365, -78.986592,43.933365, -78.986592,43.857627, -79.202585,43.857221, -79.203099,43.871677, -79.136119,43.871677, -79.136119,43.894768, -79.061317,43.894768, -79.061317,43.894836, -79.061356,43.894295, -79.061234,43.992043, -79.201775,43.991779, -79.201744,44.005372, -78.780394,44.005353, -78.780394,44.009394, -78.783478,44.009572, -78.780319,44.002789, -78.775667,44.078747, -79.310554,43.978152, -78.644552,43.968372, -78.628250,43.977910, -78.643678,44.007156, -79.090675,44.007496, -79.091804,44.076800, -78.497917,44.076786, -78.497908,43.909742, -77.272056,43.909756, -77.272050,44.081699, -79.454811,44.081699, -79.454811,44.060204, -79.327675","2023:05:13 13:53:26,2023:05:19 12:26:23,2024:04:24 13:54:54,2024:04:24 13:57:44,2024:04:28 18:10:29,2024:04:28 18:11:53,2024:04:29 11:50:33,2024:04:29 11:58:35,2024:04:30 12:54:23,2024:04:30 12:55:03,2024:05:01 14:07:27,2024:05:01 14:07:32,2024:05:01 14:07:59,2024:05:01 14:11:07,2024:05:03 14:18:05,2024:05:03 14:21:27,2024:05:04 14:41:28,2024:05:04 14:41:33,2024:05:04 15:00:48,2024:05:04 15:12:35,2024:05:04 16:01:53,2024:05:06 17:49:07,2024:05:07 10:01:27,2024:05:07 11:18:18,2024:05:07 12:16:34,2024:05:08 15:31:30,2024:05:08 15:36:38,2024:05:11 16:06:21,2024:05:11 16:06:26,2024:05:12 16:31:53,2024:05:12 16:32:02,2024:05:14 12:30:59,2024:05:14 12:31:18,2024:05:14 13:24:54"
Blueberry,plantae,"46.046673, -81.325099,44.501636, -76.542472,44.501614, -76.542428,44.510986, -76.038353,44.527225, -76.029564,44.539214, -76.037025,44.918389, -78.066131,44.918400, -78.066131,46.017119, -80.588722,46.017086, -80.588653,46.586236, -82.676361,45.928832, -80.554505","2022:07:03 12:15:38,2023:05:21 15:31:48,2023:05:21 15:32:21,2023:05:22 11:58:13,2023:05:22 13:22:31,2023:05:22 14:22:13,2023:06:03 15:08:34,2023:06:03 15:09:17,2023:08:21 15:57:27,2023:08:21 15:57:31,2023:08:22 15:48:41,2023:08:25 11:52:01"
Bottle Gentian,plantae,"44.674022, -81.252556",2022:09:17 15:02:32
Boxelder,plantae,"43.800025, -79.113579,43.933365, -78.986592,43.857267, -79.202971,44.084827, -79.358931,43.872760, -79.137662,43.894089, -79.060982,43.992931, -79.198479,43.994423, -79.198997,44.003492, -78.778214,43.978165, -78.644798,43.908133, -77.273658,44.079838, -79.454559,44.060055, -79.327545","2024:04:24 14:13:57,2024:04:28 18:13:30,2024:04:29 11:29:09,2024:04:30 09:58:32,2024:04:30 12:37:51,2024:05:01 14:29:01,2024:05:03 14:46:05,2024:05:03 14:53:24,2024:05:04 14:35:49,2024:05:07 10:00:37,2024:05:12 18:06:45,2024:05:14 11:46:05,2024:05:14 13:26:00"
Bradford Pear,plantae,"43.898277, -79.061058",2024:05:01 13:37:46
Bristle-Leaf Sedge,plantae,"43.933922, -78.986335,43.871832, -79.136245","2024:04:28 18:20:02,2024:04:30 12:25:07"
Bristly black gooseberry,plantae,"44.404047, -81.480095,43.812240, -79.154263,44.034003, -79.113182,43.933686, -78.986206","2022:05:22 14:09:37,2024:04:07 13:39:21,2024:04:15 16:53:12,2024:04:28 17:36:40"
Broad-leaved Dock,plantae,"44.035961, -79.104454,43.991772, -79.202499,43.972313, -78.636581,44.082790, -79.455521","2024:05:02 13:37:59,2024:05:03 14:09:47,2024:05:07 11:56:33,2024:05:14 12:03:45"
Broadleaf Toothwort,plantae,"43.812179, -79.153984,43.812179, -79.153984,43.933365, -78.986592,43.933365, -78.986592,44.009833, -78.782242,44.009403, -78.781119,43.972378, -78.635527","2024:04:28 14:17:00,2024:04:28 14:17:14,2024:04:28 18:36:38,2024:04:28 18:36:43,2024:05:04 15:05:02,2024:05:04 15:08:44,2024:05:07 11:02:55"
Broadleaf arrowhead,plantae,"42.579341, -80.384408,43.684333, -81.582322","2022:08:14 14:43:26,2022:08:27 12:59:45"
Broadleaf helleborine,plantae,"45.800778, -82.728783",2023:08:23 13:53:41
Brown Cress,plantae,"43.992393, -79.199303",2024:05:03 14:33:35
Bulblet bladder fern,plantae,"43.870046, -79.132251,43.933365, -78.986592,43.857221, -79.203099,43.895069, -79.061081,43.895302, -79.061005,44.009694, -78.782883,43.983006, -78.644997","2024:04:24 14:50:26,2024:04:28 17:42:56,2024:04:29 12:03:25,2024:05:01 14:01:06,2024:05:01 14:02:23,2024:05:04 15:04:22,2024:05:07 09:36:52"
Bunchberry,plantae,"44.915367, -78.061028,44.915358, -78.060981,44.914567, -78.057792,46.016919, -80.587953,46.727568, -79.808213,46.182956, -74.560769","2023:06:03 15:31:58,2023:06:03 15:32:15,2023:06:03 15:50:03,2023:08:21 15:54:33,2023:08:24 16:37:01,2023:12:27 14:42:10"
Burnet Rose,plantae,"44.080032, -79.455353",2024:05:14 11:53:34
Burning bush,plantae,"43.872428, -79.194132,43.993248, -79.201920","2024:04:29 11:40:26,2024:05:03 15:11:30"
Calycine Hawthorn,plantae,"43.850411, -79.089500",2023:06:26 20:26:25
Canada Anemone,plantae,"43.852883, -78.969383",2023:06:10 18:03:27
Canada Mayflower,plantae,"44.046822, -80.075311,43.833828, -81.456956,44.676955, -81.258746,44.505981, -76.552453,44.500042, -76.547600,44.921469, -78.070069,46.017289, -80.593597,46.583233, -82.705825,46.725533, -79.812522,45.915725, -80.551225,44.622886, -78.863892,44.047192, -79.091117,43.813226, -79.155180,43.811890, -79.153757,43.933615, -78.986120,43.857453, -79.202076,44.084827, -79.358931,43.871832, -79.136245,43.896866, -79.060402,43.993286, -79.198303,44.007122, -78.779472,44.078651, -79.310219,43.982582, -78.645447,43.982582, -78.645447,44.007271, -79.090904,45.002151, -79.520195,45.000973, -79.524788,44.074856, -78.501275,43.902775, -77.269128,44.059975, -79.327606","2022:06:05 13:50:58,2022:09:05 10:51:33,2022:09:17 14:42:42,2023:05:21 13:39:31,2023:05:21 15:05:18,2023:06:03 14:44:30,2023:08:21 16:21:53,2023:08:22 13:36:06,2023:08:24 15:00:23,2023:08:25 13:03:30,2023:09:17 15:30:46,2024:02:03 15:13:07,2024:04:17 09:19:14,2024:04:28 13:49:59,2024:04:28 17:55:59,2024:04:29 12:39:17,2024:04:30 09:57:09,2024:04:30 12:30:55,2024:05:01 13:48:18,2024:05:03 14:47:52,2024:05:04 15:36:31,2024:05:06 17:50:09,2024:05:07 09:44:28,2024:05:07 09:44:35,2024:05:08 15:32:59,2024:05:11 00:22:09,2024:05:11 00:53:37,2024:05:11 15:47:47,2024:05:12 16:09:22,2024:05:14 13:26:44"
Canada sanicle,plantae,"44.038353, -79.093905",2024:05:02 14:00:50
Canadian Wild Ginger,plantae,"43.689606, -81.586953,43.885523, -81.494523,44.085308, -79.343826,44.085308, -79.343826,43.814134, -79.155702,43.814134, -79.155702,43.933335, -78.986809,43.857267, -79.202971,43.857267, -79.202971","2022:08:27 13:36:49,2022:10:21 18:29:31,2024:04:16 09:57:22,2024:04:16 09:57:31,2024:04:24 15:16:09,2024:04:24 15:18:34,2024:04:28 17:56:24,2024:04:29 12:19:57,2024:04:29 12:20:06"
Canadian Yew,plantae,"44.059696, -79.326981",2024:05:14 13:40:30
Canadian buffalo-berry,plantae,"43.903308, -77.269822",2024:05:12 16:04:57
Canoe birch,plantae,"45.000992, -79.524811",2024:05:11 00:54:45
Cardinal Flower,plantae,"45.924228, -80.556428,45.921172, -80.554353","2023:08:25 11:50:06,2023:08:25 12:19:41"
Carolina hemlock,plantae,"44.059715, -79.327042",2024:05:14 13:37:26
Carolina springbeauty,plantae,"44.085308, -79.343826,44.085308, -79.343826,44.085308, -79.343826,44.084827, -79.358931","2024:04:16 09:36:40,2024:04:16 09:58:09,2024:04:16 10:01:02,2024:04:30 10:32:31"
Carrion-flower,plantae,"43.871733, -79.131172",2023:07:01 20:11:29
Cat-tail,plantae,"43.857997, -78.841300",2023:04:16 16:34:34
Catberry,plantae,"46.721819, -79.820961,46.721817, -79.820969","2023:08:24 15:34:00,2023:08:24 15:34:11"
Chinese Tulip Tree,plantae,"44.300114, -81.588828,43.809486, -79.164122","2022:09:11 14:36:50,2023:06:27 19:37:09"
Chinese crab,plantae,"44.079628, -79.454720",2024:05:14 11:46:47
Chinese crab apple,plantae,"43.849797, -79.089128",2023:06:26 20:22:26
Chokecherry,plantae,"43.892331, -81.318225,43.821989, -80.018883,43.798058, -79.110764,44.505753, -76.549300,43.798656, -79.109389,44.920844, -78.070197,43.874461, -78.795547,43.812200, -79.153830,43.857221, -79.203099,43.991844, -79.202805,43.991951, -79.202477,44.004086, -78.778725,44.080708, -79.313339,43.980484, -78.645638,43.980484, -78.645638,43.980412, -78.641441,43.969145, -78.629405,44.006641, -79.090004,44.077106, -78.503708,43.903336, -77.269378,43.912808, -77.282500,44.080650, -79.454575","2022:07:17 11:39:13,2022:07:31 14:23:04,2023:05:19 11:35:41,2023:05:21 16:13:55,2023:05:28 13:07:37,2023:06:03 14:36:41,2023:06:28 19:57:54,2024:04:17 09:09:09,2024:04:29 11:20:19,2024:05:03 14:13:25,2024:05:03 14:14:03,2024:05:04 14:38:04,2024:05:06 18:00:47,2024:05:07 09:51:27,2024:05:07 09:51:31,2024:05:07 10:11:04,2024:05:07 11:16:05,2024:05:08 15:28:45,2024:05:11 16:57:43,2024:05:12 16:06:46,2024:05:12 17:07:21,2024:05:14 12:27:45"
Christmas fern,plantae,"43.813117, -79.155209,44.084827, -79.358931,44.084827, -79.358931","2024:04:17 09:46:30,2024:04:30 10:24:51,2024:04:30 10:24:54"
Cinnamon fern,plantae,"44.504344, -76.040200,43.993629, -79.199814,43.993984, -79.199440,44.007119, -78.779372","2023:05:22 16:14:33,2024:05:03 14:58:41,2024:05:03 14:58:43,2024:05:04 15:36:06"
Climbing Bittersweet,plantae,"42.703739, -80.333697,43.759850, -81.708258,42.952714, -81.389419","2022:08:14 17:33:12,2022:11:05 14:18:01,2022:12:30 15:04:49"
Climbing nightshade,plantae,"43.888828, -81.318686,44.331683, -79.316222","2022:08:28 18:38:06,2023:09:30 15:35:48"
Coltsfoot,plantae,"43.890297, -81.317694,44.436349, -79.764632,44.441043, -79.761943,44.298547, -81.595719,44.504350, -76.554856,43.846396, -78.903982,43.851579, -78.868776,43.851906, -78.878356,43.412850, -79.766564,43.802835, -79.105628,43.814038, -79.154158,44.085308, -79.343826,43.869914, -79.132721,43.933365, -78.986592,43.857267, -79.202971,43.898464, -79.059479,43.894588, -79.060959,43.992039, -79.199966,44.002381, -78.776292,43.975018, -78.614868,44.007332, -79.095345,44.081108, -79.454697,44.059212, -79.327400","2022:08:28 18:32:04,2022:09:05 15:49:55,2022:09:05 15:53:02,2022:09:11 13:52:27,2022:09:11 14:04:55,2023:04:07 13:48:33,2023:04:26 14:48:05,2024:03:17 19:29:37,2024:03:31 13:47:07,2024:04:06 13:57:05,2024:04:07 14:19:09,2024:04:16 10:11:03,2024:04:24 14:46:37,2024:04:28 18:10:02,2024:04:29 11:27:43,2024:05:01 13:29:53,2024:05:01 14:33:29,2024:05:03 14:30:33,2024:05:04 14:28:56,2024:05:07 10:59:07,2024:05:08 15:46:28,2024:05:14 12:29:36,2024:05:14 13:33:53"
Common Comfrey,plantae,"43.798203, -79.111267,43.797386, -79.112511","2023:05:19 12:35:01,2023:05:28 13:01:26"
Common Cowparsnip,plantae,"43.801475, -79.107833,43.800153, -79.108208","2023:05:28 13:19:37,2023:06:18 15:52:21"
Common Horse-chestnut,plantae,"43.895203, -81.305772,43.798786, -79.109581,43.799283, -79.109214,43.799258, -79.109283,43.799197, -79.109253,43.799282, -79.109974,43.799282, -79.109974","2022:08:31 10:07:50,2023:05:19 11:37:59,2023:05:19 11:55:38,2023:05:19 11:57:50,2023:06:18 15:46:51,2024:04:24 14:08:17,2024:04:24 14:09:51"
Common Horsetail,plantae,"43.933922, -78.986335,43.933365, -78.986592,43.894779, -79.061142,43.992134, -79.202240,44.002442, -78.776314,43.978722, -78.642868,43.972511, -78.638313,44.005123, -79.094856,44.085308, -79.455017","2024:04:28 18:22:27,2024:04:28 18:23:31,2024:05:01 14:08:34,2024:05:03 14:15:45,2024:05:04 14:29:13,2024:05:07 10:06:04,2024:05:07 11:59:49,2024:05:08 14:59:18,2024:05:14 12:45:40"
Common Lambsquarters,plantae,"43.743306, -80.957050,43.888461, -81.326640,43.888566, -81.311708,43.889265, -81.311123,43.990983, -77.732933","2022:08:23 12:50:37,2022:08:24 17:28:46,2022:08:25 12:12:35,2022:11:06 15:52:41,2023:10:29 16:37:08"
Common Mullein,plantae,"43.892883, -81.301658,43.892729, -81.301208,43.813164, -79.155165,43.800076, -79.112887,43.933365, -78.986592","2022:08:22 09:10:22,2022:08:22 09:19:30,2024:04:17 09:15:23,2024:04:24 14:15:00,2024:04:28 17:40:42"
Common Stork's-bill,plantae,"43.978531, -78.645424",2024:05:07 09:57:42
Common Teasel,plantae,"43.890948, -81.321832,43.827928, -78.994483,43.898823, -79.060181,43.909133, -77.270706","2022:07:26 08:22:31,2023:06:30 17:48:42,2024:05:01 13:32:33,2024:05:12 16:28:40"
Common Toadflax,plantae,"43.743769, -80.967353",2022:08:22 09:05:30
Common White Heart-Leaf Aster,plantae,"43.993282, -79.202843",2024:05:03 15:14:03
Common barberry,plantae,"43.755408, -81.712867,43.755433, -81.712922,43.755378, -81.712769,43.852056, -79.090203,44.302642, -77.795294,44.630578, -78.874619","2022:11:05 13:56:17,2022:11:05 13:57:00,2022:11:05 13:57:45,2023:06:26 20:37:52,2023:09:09 14:56:59,2023:09:17 16:35:56"
Common blue violet,plantae,"43.969332, -78.630017,43.968175, -78.628450","2024:05:07 11:25:44,2024:05:07 11:31:56"
Common buckthorn,plantae,"43.993217, -79.198303,43.980396, -78.640205,44.005547, -79.094070,44.007610, -79.094376,44.007622, -79.094398,44.079628, -79.454720","2024:05:03 14:47:20,2024:05:07 10:14:21,2024:05:08 15:08:25,2024:05:08 15:43:34,2024:05:08 15:43:51,2024:05:14 11:46:59"
Common burdock,plantae,"43.994503, -79.199394,44.004658, -78.776750,44.079865, -79.455444","2024:05:03 14:52:35,2024:05:04 15:56:03,2024:05:14 12:24:56"
Common chickweed,plantae,"44.084827, -79.358931,44.084827, -79.358931","2024:04:30 10:35:39,2024:04:30 10:35:46"
Common evening primrose,plantae,"43.892946, -81.302517,43.815431, -80.012735,42.579341, -80.384408,43.892915, -81.302646,44.540633, -79.442772","2022:07:26 07:46:42,2022:07:31 16:31:17,2022:08:14 13:51:44,2022:08:22 09:19:05,2023:11:05 14:38:54"
Common juniper,plantae,"44.006641, -79.089851,45.002071, -79.521172,43.902069, -77.272033","2024:05:08 15:25:31,2024:05:11 00:26:15,2024:05:12 15:55:59"
Common lilac,plantae,"43.871832, -79.136245,43.979785, -78.645995","2024:04:30 12:14:09,2024:05:07 09:53:07"
Common lousewort,plantae,"44.521972, -76.032806,44.521989, -76.032831","2023:05:22 13:01:59,2023:05:22 13:02:10"
Common milkweed,plantae,"43.745333, -80.964949,43.932739, -79.229553,43.799249, -79.109512,43.857267, -79.202971","2022:07:26 07:59:05,2024:02:10 16:12:16,2024:04:06 14:10:55,2024:04:29 11:34:37"
Common motherwort,plantae,"44.085308, -79.343826,43.979872, -78.645910,43.909503, -77.271811,44.082256, -79.455254","2024:04:16 10:13:04,2024:05:07 09:52:49,2024:05:12 16:30:54,2024:05:14 12:01:04"
Common periwinkle,plantae,"44.047662, -80.078296,43.812138, -79.153921,43.870046, -79.132251,43.869357, -79.131883,44.002750, -78.775458","2022:06:05 15:43:16,2024:04:07 13:47:07,2024:04:24 14:51:42,2024:04:30 13:03:21,2024:05:04 16:01:29"
Corn speedwell,plantae,"43.898766, -79.060165,43.899166, -79.061516","2024:05:01 13:32:05,2024:05:01 13:35:15"
Cottonwood,plantae,"43.903361, -77.283281",2024:05:12 15:27:36
Crab Apple,plantae,"44.005047, -79.098106",2024:05:08 14:49:39
Crab apple,plantae,"43.850242, -79.089378,44.081127, -79.454758","2023:06:26 20:24:13,2024:05:14 12:30:09"
Creeping Bellflower,plantae,"43.827508, -78.991722",2023:06:30 17:59:38
Creeping Charlie,plantae,"43.874292, -78.787217",2023:05:13 15:10:05
Creeping Wintergreen,plantae,"46.722111, -79.820739",2023:08:24 15:32:10
Creeping-Jenny,plantae,"43.758911, -81.703178,44.085308, -79.455559","2022:11:05 13:25:15,2024:05:14 12:47:00"
Crested Buckler Fern,plantae,"44.005711, -79.094330",2024:05:08 15:02:03
Crocus,plantae,"43.795695, -79.116345",2024:04:06 13:35:29
Cut-Leaf Toothcup,plantae,"43.811890, -79.153757,43.811890, -79.153757,43.811890, -79.153757","2024:04:28 13:35:44,2024:04:28 13:35:52,2024:04:28 13:36:36"
Dames rocket,plantae,"43.796150, -79.116753,44.080391, -79.454399","2023:05:28 12:52:44,2024:05:14 12:27:07"
Dandelion,plantae,"43.744500, -80.966323,43.854121, -78.858667","2022:08:23 10:12:18,2024:04:10 13:47:48"
Devil's darning needles,plantae,"43.746900, -80.964863,43.748791, -80.961815","2022:09:13 15:19:50,2022:10:10 16:37:57"
Downy-yellow violet,plantae,"44.404047, -81.480095,43.800531, -79.107964,43.801456, -79.107842,43.812152, -79.153898,43.812152, -79.153898,43.933365, -78.986592,43.857453, -79.202076,43.857267, -79.202971,44.009403, -78.783447,44.079639, -79.310654,43.968120, -78.628680,43.968298, -78.628983,44.007271, -79.090904,44.007950, -79.093262,43.908100, -77.273439,44.085285, -79.455589","2022:05:22 13:55:28,2023:05:19 11:50:23,2023:05:19 12:06:44,2024:04:28 14:20:25,2024:04:28 14:20:49,2024:04:28 17:38:32,2024:04:29 11:38:04,2024:04:29 12:22:50,2024:05:04 15:00:28,2024:05:06 17:46:57,2024:05:07 11:30:52,2024:05:07 11:31:33,2024:05:08 15:32:42,2024:05:08 15:41:28,2024:05:12 18:07:15,2024:05:14 12:46:44"
Dwarf lake iris,plantae,"44.415028, -81.479072",2022:05:22 15:56:04
Dwarf serviceberry,plantae,"43.872586, -78.792931,44.006557, -79.089772,43.901992, -77.272361","2023:05:13 14:55:06,2024:05:08 15:27:05,2024:05:12 15:54:15"
Dwarf-elder,plantae,"46.017825, -80.589386,46.017822, -80.589356,45.921967, -80.555336,45.920853, -80.554306","2023:08:21 16:03:23,2023:08:21 16:03:37,2023:08:25 12:14:22,2023:08:25 12:21:52"
Early meadow-rue,plantae,"44.085308, -79.343826,43.799282, -79.109974,43.857221, -79.203099,44.008083, -79.092361,44.008057, -79.092400,44.080108, -78.497908,44.080106, -78.497908","2024:04:16 09:42:40,2024:04:24 13:39:38,2024:04:29 11:49:05,2024:05:08 15:39:16,2024:05:08 15:39:20,2024:05:11 16:20:32,2024:05:11 16:20:44"
Early sedge,plantae,"44.077438, -78.501305",2024:05:11 16:40:50
Eastern Red Cedar,plantae,"44.294411, -77.799942,43.980400, -78.640396,43.912414, -77.286644","2023:09:09 15:03:31,2024:05:07 10:13:53,2024:05:12 17:27:29"
Eastern daisy fleabane,plantae,"43.872322, -78.794358",2023:05:13 14:50:46
Eastern waterleaf,plantae,"43.799878, -79.109047,43.812359, -79.154263,44.085308, -79.343826,43.795526, -79.116722,43.799282, -79.109974,43.933458, -78.986893,43.857627, -79.202585,44.084827, -79.358931,43.871306, -79.135831,43.893963, -79.061333,44.079735, -79.310608,44.005268, -79.099007,44.006626, -79.098457","2023:06:18 16:11:30,2024:04:07 13:52:59,2024:04:16 09:27:00,2024:04:24 13:19:49,2024:04:24 13:43:45,2024:04:28 17:35:01,2024:04:29 11:44:30,2024:04:30 10:26:02,2024:04:30 12:38:44,2024:05:01 14:14:52,2024:05:06 17:46:28,2024:05:08 14:46:37,2024:05:08 15:57:42"
Eastern white pine,plantae,"43.871832, -79.136245,44.034077, -79.101601","2024:04:30 12:28:04,2024:05:02 14:44:38"
Elderberry,plantae,"43.890007, -81.317647,43.742538, -80.961771,43.825731, -81.457414,43.874139, -78.785064,43.874294, -78.786872,43.874264, -78.786919","2022:07:17 17:44:21,2022:08:23 12:39:11,2022:08:27 10:57:19,2023:06:28 19:23:30,2023:06:28 19:27:06,2023:06:28 19:27:40"
European Linden,plantae,"43.973091, -78.634537,44.077900, -78.498628,44.079926, -79.455406","2024:05:07 10:51:39,2024:05:11 16:10:29,2024:05:14 12:24:28"
European cinquefoil,plantae,"44.038332, -79.090612,44.005138, -79.098518,44.995682, -79.532318,44.075031, -78.497894","2024:05:02 14:13:59,2024:05:08 14:48:29,2024:05:11 01:02:34,2024:05:11 15:58:16"
European larch,plantae,"44.038979, -79.091515,43.974522, -78.632866","2024:05:02 14:05:17,2024:05:07 10:43:19"
False Solomon's Seal,plantae,"44.415641, -81.462933,44.047901, -80.077414,46.047984, -81.328180,43.637945, -81.477537,43.885928, -81.492867,43.872242, -78.793756,44.504608, -76.553489,44.084827, -79.358931,44.080044, -79.310806,43.973743, -78.635101,43.973770, -78.634918,43.973091, -78.634537,44.007320, -79.091606,45.001289, -79.524361,44.074669, -78.500436,44.059662, -79.327354","2022:05:22 14:04:11,2022:06:05 14:00:35,2022:07:02 15:06:34,2022:08:09 16:55:43,2022:09:08 12:41:42,2023:05:13 14:32:32,2023:05:21 14:17:43,2024:04:30 10:32:49,2024:05:06 17:44:38,2024:05:07 10:49:43,2024:05:07 10:50:30,2024:05:07 10:51:24,2024:05:08 15:36:04,2024:05:11 00:39:56,2024:05:11 15:51:23,2024:05:14 13:29:28"
False Strawberry,plantae,"43.888042, -81.321556",2022:08:28 18:47:21
Fenugreek,plantae,"44.006119, -79.098900",2024:05:08 15:59:15
Few-head blazingstar,plantae,"45.780403, -82.727517",2023:08:23 15:18:23
Field Mint,plantae,"45.787003, -82.698472,45.787003, -82.698503","2023:08:23 16:40:41,2023:08:23 16:40:45"
Fire-berry hawthorn,plantae,"43.800767, -79.107703",2023:05:28 13:34:58
Five-stamen mouse-ear chickweed,plantae,"43.899166, -79.061516",2024:05:01 13:35:08
Flowering quince,plantae,"43.874344, -78.787361,43.874336, -78.787322","2023:05:13 13:41:48,2023:05:13 13:42:08"
Forest bedstraw,plantae,"44.505578, -76.553406",2023:05:21 14:09:02
Forest phlox,plantae,"44.508475, -76.551064",2023:05:21 13:52:45
Forked catchfly,plantae,"43.809836, -79.164239",2023:06:27 20:00:52
Fragrant water-lily,plantae,"42.579341, -80.384408",2022:08:14 03:05:36
Freeman Maple,plantae,"44.080441, -79.455612",2024:05:14 12:23:29
Fringed Milkwort,plantae,"44.404047, -81.480095,44.505622, -76.545325","2022:05:22 13:20:03,2023:05:21 15:56:27"
Fuller's Teasel,plantae,"44.079653, -79.455200",2024:05:14 11:52:25
Garlic Mustard,plantae,"43.756047, -81.700902,43.795362, -79.117431,44.577167, -79.325828,43.814678, -79.155267,43.865711, -78.838883,43.923558, -79.227647,44.117519, -78.947464,43.411719, -79.758972,44.034003, -79.113182,44.085308, -79.343826,43.933365, -78.986592,44.084827, -79.358931,43.992908, -79.198402,44.004906, -78.777489,44.080940, -79.311317,43.968310, -78.629255,44.005756, -79.093758,44.078389, -78.498925,43.908253, -77.270256,44.083313, -79.455879,44.060204, -79.327675","2022:11:04 16:03:40,2023:04:26 14:01:34,2023:11:05 13:43:14,2023:12:10 15:14:20,2023:12:16 14:25:14,2024:02:10 15:01:15,2024:02:25 14:47:41,2024:03:31 13:09:32,2024:04:15 16:42:56,2024:04:16 09:17:33,2024:04:28 18:43:30,2024:04:30 09:53:08,2024:05:03 14:43:56,2024:05:04 15:50:59,2024:05:06 17:41:53,2024:05:07 11:29:15,2024:05:08 15:09:07,2024:05:11 16:14:16,2024:05:12 18:16:00,2024:05:14 12:05:22,2024:05:14 13:24:33"
Gaywings,plantae,"44.404047, -81.480095",2022:05:22 13:15:21
German ipecac,plantae,"44.006023, -79.092262,44.006023, -79.092262,44.082256, -79.455254,44.081722, -79.453995","2024:05:08 15:14:53,2024:05:08 15:14:58,2024:05:14 12:00:34,2024:05:14 12:32:36"
Giant Hogweed,plantae,"43.983137, -78.644827,43.956476, -78.617707","2024:05:07 09:38:42,2024:05:07 11:36:31"
Glaucous Aster,plantae,"43.759819, -81.708214",2022:11:05 14:18:47
Glossy buckthorn,plantae,"43.872014, -78.792358",2022:07:26 08:14:47
Goldmoss stonecrop,plantae,"43.902222, -77.269281",2024:05:12 16:13:30
